genre,track_popularity
k-pop,77.3103448275862
pop,72.84905660377359
country,70.05555555555556
hip hop,65.24
r&b pop,65.08695652173913
alternative r&b,64.77777777777777
art pop,64.75
mahraganat,46.67741935483871
dark r&b,46.32258064516129
egyptian pop,46.3125
